# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

i 2 396 0 0 2846 1209
i 2 396 0 0 29512 1984
b 4 0 396 0 1748 330
b 4 0 396 0 1478 327
p 2 0 342 54 10740 503
b 4 0 396 0 1460 282
b 4 0 396 0 1415 327
p 2 0 347 49 10248 513
b 4 0 396 0 1623 286
b 4 0 396 0 1396 306
p 2 0 332 64 9961 510
b 4 0 396 0 2217 499
b 4 0 396 0 2486 492
p 2 1 394 1 16568 630
b 4 0 396 0 1832 321
b 4 0 396 0 1830 335
p 2 0 355 41 11421 523
b 4 0 396 0 1959 302
b 4 0 396 0 1854 320
p 2 0 358 38 10470 525
b 4 0 396 0 2034 344
b 4 0 396 0 1869 353
p 2 0 366 30 11184 532
b 4 0 396 0 2008 464
b 4 0 396 0 1970 456
p 2 0 395 1 14209 626
b 4 0 396 0 1722 364
b 4 0 396 0 1752 377
p 2 0 389 7 10071 571
b 4 0 396 0 1907 428
b 4 0 396 0 2094 407
p 2 0 394 2 10190 570
b 4 0 396 0 1746 375
b 4 0 396 0 1810 384
p 2 0 381 15 11378 562
b 4 0 396 0 2129 450
b 4 0 396 0 2017 440
p 2 0 395 1 13940 614
b 4 0 396 0 1917 377
b 4 0 396 0 1924 345
p 2 0 382 14 10892 550
b 4 0 396 0 2075 313
b 4 0 396 0 1972 334
p 2 1 346 49 10035 526
b 4 0 396 0 2335 481
b 4 0 396 0 2661 466
p 2 0 393 3 16229 633
b 4 0 396 0 2282 385
b 4 0 396 0 2627 398
p 2 1 381 14 12813 574
b 4 0 396 0 2357 368
b 4 0 396 0 2247 375
p 2 3 382 11 11421 586
b 4 0 396 0 2055 366
b 4 0 396 0 2009 366
p 2 0 378 18 10882 554
b 4 0 396 0 2821 483
b 4 0 396 0 2757 427
p 2 1 394 1 15464 632
b 4 0 396 0 2536 374
b 4 0 396 0 2696 376
p 2 1 381 14 11120 572
b 4 0 396 0 2639 404
b 4 0 396 0 2513 379
p 2 3 367 26 10876 569
b 4 0 396 0 2837 501
b 4 0 396 0 3218 463
p 2 1 395 0 16566 643
b 4 0 396 0 2135 314
b 4 0 396 0 2176 320
p 2 0 366 30 11551 540
b 4 0 396 0 2292 317
b 4 0 396 0 2278 318
p 2 0 339 57 11020 529
b 4 0 396 0 2731 349
b 4 0 396 0 2878 363
p 2 0 348 48 12568 543
b 4 0 396 0 2762 452
b 4 0 396 0 2490 458
p 2 0 395 1 15783 639
b 4 0 396 0 1914 362
b 4 0 396 0 1871 348
p 2 0 386 10 10704 575
b 4 0 396 0 1719 342
b 4 0 396 0 1661 360
p 2 0 385 11 10993 572
b 4 0 396 0 1498 341
b 4 0 396 0 1425 339
p 2 0 378 18 10629 556
b 4 0 396 0 1734 447
b 4 0 396 0 1848 462
p 2 0 395 1 13601 624
b 4 0 396 0 1426 370
b 4 0 396 0 1293 336
p 2 0 393 3 9986 574
b 4 0 396 0 1356 335
b 4 0 396 0 1398 360
p 2 0 387 9 10418 568
b 4 0 396 0 1301 355
b 4 0 396 0 1272 359
p 2 0 381 15 9941 565
b 4 0 396 0 1535 444
b 4 0 396 0 1701 463
p 2 0 394 2 12772 615
b 4 0 396 0 1252 348
b 4 0 396 0 1213 332
p 2 0 389 7 9254 575
b 4 0 396 0 1344 323
b 4 0 396 0 1396 347
p 2 0 384 12 10132 565
b 4 0 396 0 1583 356
b 4 0 396 0 1613 347
p 2 0 379 17 10283 557
b 4 0 396 0 2168 464
b 4 0 396 0 2329 449
p 2 0 395 1 14207 623
b 4 0 396 0 1979 355
b 4 0 396 0 2019 336
p 2 1 389 6 10737 583
b 4 0 396 0 2096 354
b 4 0 396 0 2118 361
p 2 0 383 13 11313 569
b 4 0 396 0 1982 357
b 4 0 396 0 1952 352
p 2 0 375 21 11007 546
b 4 0 396 0 2350 444
b 4 0 396 0 2271 452
p 2 1 392 3 14808 625
b 4 0 396 0 1976 356
b 4 0 396 0 1853 341
p 2 0 382 14 10955 570
b 4 0 396 0 1806 316
b 4 0 396 0 1866 360
p 2 0 374 22 10940 554
b 4 0 396 0 1726 352
b 4 0 396 0 1649 349
p 2 0 377 19 10695 556
b 4 0 396 0 1860 447
b 4 0 396 0 1984 465
p 2 0 395 1 13992 625
b 4 0 396 0 1906 339
b 4 0 396 0 1965 352
p 2 0 383 13 10740 568
b 4 0 396 0 1945 349
b 4 0 396 0 1814 349
p 2 2 380 14 10739 569
b 4 0 396 0 1708 353
b 4 0 396 0 1640 338
p 2 1 378 17 10325 559
b 4 0 396 0 2045 449
b 4 0 396 0 2212 455
p 2 0 396 0 14273 622
b 4 0 396 0 1911 338
b 4 0 396 0 1856 342
p 2 0 384 12 10620 577
b 4 0 396 0 1916 377
b 4 0 396 0 1806 339
p 2 0 378 18 10995 562
b 4 0 396 0 2049 352
b 4 0 396 0 1953 344
p 2 0 369 27 11221 554
b 4 0 396 0 2528 451
b 4 0 396 0 2716 466
p 2 1 395 0 15200 638
b 4 0 396 0 2096 369
b 4 0 396 0 2017 361
p 2 0 379 17 11067 561
b 4 0 396 0 2001 330
b 4 0 396 0 2049 384
p 2 0 375 21 11314 563
b 4 0 396 0 1936 369
